"ThetaMin","ThetaMax","PhiMin","PhiMax","P1_Q1_index","P2_Q2_index","P3_Q3_index","T_r"
252,390,7602,7740,6,24,68,948
252,390,7734,7872,6,64,85,949
384,522,7602,7740,6,24,68,946
384,456,7734,7806,6,24,68,952
384,456,7800,7872,6,24,68,952
450,522,7734,7806,6,24,68,951
450,522,7800,7872,6,24,68,952
-6,126,7866,8004,6,24,68,949
-6,126,7998,8136,6,64,18,949
120,258,7866,8004,6,64,18,950
120,258,7998,8136,6,64,18,949
-6,126,8130,8268,6,64,18,949
-6,126,8262,8400,6,64,18,949
120,258,8130,8268,6,64,18,948
120,258,8262,8400,6,64,18,948
252,390,7866,8004,6,64,85,948
252,390,7998,8136,6,64,18,948
384,456,7866,7938,6,24,68,952
384,456,7932,8004,6,41,85,952
450,522,7866,7938,6,24,68,951
450,522,7932,8004,6,41,85,951
384,456,7998,8070,6,41,85,951
384,456,8064,8136,6,41,85,951
450,522,7998,8070,6,41,85,951
450,522,8064,8136,6,64,18,948
252,390,8130,8268,6,64,18,947
